"assoc_key","store_key","comp_key","is_primary"
1711,101,508,TRUE
1866,101,674,TRUE
1891,101,700,TRUE
1975,101,794,TRUE
2175,101,1008,TRUE
2176,101,1009,TRUE
2177,101,1010,TRUE
3372,101,1951,TRUE
3205,101,2401,TRUE
1804,102,605,TRUE
4045,102,3079,TRUE
3469,201,573,FALSE
1788,201,588,FALSE
2015,201,836,TRUE
2020,201,841,TRUE
2029,201,850,TRUE
2090,201,918,TRUE
2203,201,1036,TRUE
2927,201,2144,TRUE
4132,201,3166,TRUE
3465,202,588,FALSE
2018,202,839,TRUE
3472,202,1037,FALSE
3477,202,1911,FALSE
2923,202,2140,TRUE
4129,202,3163,TRUE
2204,203,1037,FALSE
2248,203,1082,TRUE
3476,203,1911,FALSE
3329,203,2546,TRUE
1774,204,573,TRUE
1847,204,653,TRUE
1935,204,750,TRUE
2022,204,843,TRUE
3471,204,1036,FALSE
2229,204,1062,TRUE
2760,204,1584,TRUE
2888,204,1698,TRUE
4131,204,3165,TRUE
4321,204,3324,TRUE
3464,205,588,FALSE
1837,205,641,TRUE
1851,205,658,TRUE
1929,205,744,TRUE
3474,205,1037,FALSE
2761,205,1585,TRUE
2973,205,2190,TRUE
3176,205,2379,TRUE
1762,206,561,TRUE
1869,206,677,TRUE
2013,206,834,TRUE
2088,206,916,TRUE
2181,206,1014,TRUE
2815,206,1637,TRUE
2816,206,1638,TRUE
4134,206,3168,TRUE
3499,207,561,FALSE
1881,207,690,TRUE
2032,207,853,TRUE
2151,207,983,TRUE
2152,207,984,TRUE
2198,207,1031,TRUE
2216,207,1049,FALSE
2219,207,1052,TRUE
2283,207,1118,TRUE
2935,207,2152,TRUE
2976,207,2193,TRUE
3006,207,2225,TRUE
4135,207,3169,TRUE
1989,208,810,TRUE
2017,208,838,TRUE
2199,208,1032,TRUE
2214,208,1047,TRUE
2231,208,1064,TRUE
3204,208,2400,TRUE
4130,208,3164,TRUE
3473,209,1036,FALSE
2205,209,1038,TRUE
2220,209,1053,TRUE
4128,209,3162,TRUE
1821,210,625,TRUE
1867,210,675,TRUE
2003,210,824,TRUE
2046,210,868,TRUE
2081,210,908,TRUE
2887,210,1700,TRUE
2975,210,2192,TRUE
2189,211,1022,TRUE
2230,211,1063,TRUE
2894,211,1700,FALSE
3411,211,2018,FALSE
2925,211,2142,TRUE
2217,213,1050,TRUE
2895,213,1700,FALSE
3413,213,2018,TRUE
2931,213,2148,TRUE
3014,213,2233,TRUE
3396,214,588,FALSE
3468,214,1036,FALSE
2021,215,842,TRUE
3397,215,1038,FALSE
3293,215,2495,TRUE
2080,216,907,TRUE
3398,216,1037,FALSE
2758,216,1582,TRUE
3466,216,2140,FALSE
3203,216,2399,TRUE
1761,217,985,TRUE
2182,217,1015,TRUE
2190,217,1023,TRUE
4136,217,3170,TRUE
3470,218,573,FALSE
2180,218,1013,TRUE
2232,218,1065,TRUE
4133,218,3167,TRUE
3399,219,573,FALSE
2974,219,2191,TRUE
3498,220,561,FALSE
3405,220,1031,FALSE
2813,220,1049,TRUE
2814,220,1636,TRUE
2946,220,2163,TRUE
3031,220,2249,TRUE
3264,220,2463,TRUE
3265,220,2464,TRUE
3266,220,2465,TRUE
3321,220,2538,TRUE
3400,221,1037,TRUE
3475,221,1911,FALSE
3467,221,2140,FALSE
3333,221,2550,TRUE
3864,221,2922,TRUE
1751,301,550,TRUE
1861,301,669,TRUE
2019,301,840,TRUE
2050,301,872,TRUE
3003,301,2222,TRUE
3365,301,2581,TRUE
4371,301,3328,TRUE
1747,302,546,TRUE
1834,302,638,TRUE
3430,302,2103,FALSE
1964,303,783,TRUE
2042,303,864,TRUE
2187,303,1020,TRUE
2221,303,1054,TRUE
2793,303,1616,TRUE
3429,303,2103,FALSE
3374,303,2105,TRUE
2926,303,2143,TRUE
3011,303,2230,TRUE
3207,303,2403,TRUE
3208,303,2404,TRUE
3552,303,2662,TRUE
3888,303,2934,TRUE
4308,303,3270,TRUE
4366,303,3279,TRUE
2023,304,844,TRUE
2048,304,870,TRUE
2818,304,1640,TRUE
3366,304,1856,TRUE
3385,305,1852,TRUE
3307,305,2524,TRUE
3308,305,2525,TRUE
3309,305,2526,TRUE
3310,305,2527,TRUE
3525,305,2633,TRUE
3526,305,2634,TRUE
3527,305,2635,TRUE
3528,305,2636,TRUE
3529,305,2637,TRUE
3530,305,2638,TRUE
3531,305,2639,TRUE
3874,306,2001,TRUE
3978,306,2103,FALSE
3889,306,2934,FALSE
3932,306,2968,TRUE
3934,306,2970,TRUE
3935,306,2971,TRUE
3977,306,3013,TRUE
1859,401,667,TRUE
2024,401,845,TRUE
3789,401,2899,TRUE
4367,401,3278,TRUE
2341,402,1179,TRUE
2819,402,1641,TRUE
4164,402,1787,TRUE
3362,402,1826,TRUE
3084,402,2295,TRUE
