"banner","color"
"201 Central","#b264ff"
"ABC","#b76eff"
"Ace and Ales","#ff1e1e"
"AJ's","#f50000"
"Albertson's","#00a500"
"Safeway","#00eb00"
"Arthur's","#010101"
"Richard's","#3a7300"
"Whole Foods","#14670c"
"Austin Liquors","#9b4e00"
"Beltramo's","#ffff96"
"Ben's","#ff6eff"
"Bevmax","#ffd5aa"
"BevMo","#f97e00"
"BJ's","#df2ae1"
"Blanchard's","#e100e1"
"Blue Max","#214100"
"Bottle King","#3cff3c"
"Bottles","#7100e1"
"Bullock's","#78ffbc"
"Cambridge Wine","#ff0a0a"
"Canal's","#00e1e1"
"Capital City Package","#1effff"
"Central Market","#005f5f"
"Costco","#0000f5"
"Crown Wine & Spirits","#010101"
"Dierberg's","#5aadff"
"Dirt Cheap","#004e9b"
"Don & Ben's","#010101"
"Fannon's","#0000b9"
"Farm Fresh","#ff148a"
"Fifth Avenue Liquors","#7b00f5"
"France 44","#210041"
"Fred Meyer","#eb0000"
"Friar Tuck","#ff3cff"
"Fry's","#8a14ff"
"Gabriel's","#ff96cb"
"Gary's Wine","#d7006c"
"Gary's Liquors","#ff850a"
"Gelson's","#e9e9e9"
"Giant","#820c89"
"Goody Goody","#8f8f8f"
"Green's","#eb7600"
"Haggen","#009b00"
"Harris Teeter","#f97e00"
"Haskell's","#ff82ff"
"HEB","#bc78ff"
"Hi-Time Wine","#90340c"
"Hop City","#b90000"
"Hunt Valley Liqours","#010101"
"Jax Fine Wine & Spirits","#009100"
"Joe Canal's","#f57b00"
"Jubilation","#eb7600"
"Julio's Liquors","#ff0a85"
"K & L","#190e65"
"Kappy's","#7d7d00"
"Kreston","#67cd00"
"Kroger","#32ff99"
"Lakeville","#6cd700"
"Lee's","#eb7600"
"Liquor Boy","#a500a5"
"Lucky's Market","#005f00"
"Lueken's","#4682b4"
"Dogwood Wine and Spirits","#010101"
"Malt & Vine","#009b4e"
"Martins","#00c3c3"
"Marty's","#00a5a5"
"Matignetti's","#a50053"
"MGM","#00cd67"
"Morelli's","#949494"
"Natick Wine and Spirits","#00d7d7"
"Norman's","#00009b"
