"store_key","price_zone","name","description","street_address","city","state","zipcode","latitude","longitude"
1503,"Milford","1503 - Total Wine - Milford",,"230 Cherry St.","Milford","CT",6460,41.2303087632519,-73.0482613423279
933,"Orlando","933 - Total Wine - Lady Lake","Lady Lake Commons","641 N. Highway 27-441","Lady Lake","FL",32159,28.9317601968961,-81.9274810499847
1136,"Orange County","1136 - Total Wine - Glendale","Glendale Fashion Center","221 North Glendale Ave.","Glendale","CA",91206,34.1486119,-118.2463549
219,"N Virginia","219 - Total Wine - Reston","Plaza America Shopping Center","11620 Plaza America Drive","Reston","VA",20190,38.9518337348694,-77.3474898656067
604,"Greensboro","604-Total Wine - Winston Salem NC","Stratford Galleria","551 South Stratford Road","Winston-Salem","NC",27103,36.0871226330336,-80.2883375342545
805,"Georgia","805 - Total Wine - Akers Mill","Akers Mill Square","2955 Cobb Parkway SE","Atlanta","GA",30339,33.8826593840285,-84.4609887654678
507,"Dallas","507 - Total Wine - Lewisville","Vista Ridge Village","2325 S. Stemmons Fwy, Suite 504","Lewisville","TX",75067,33.0088765880543,-96.9786642722443
1303,"ABQ","1303 - Total Wine - Santa Fe","Unit 11 Plaza Santa Fe II","3529 Zafarano Dr.","Santa Fe","NM",87507,35.6411,-106.012674
1106,"Orange County","1106 - Total Wine - Redondo Beach","South Bay Marketplace","1505 Hawthorne Blvd.","Redondo Beach","CA",90278,33.8677747338577,-118.353679230827
1110,"Orange County","1110 - Total Wine - Laguna Hills","Laguna Hills","24001 El Toro Road Ste B","Laguna Hills","CA",92653,33.6140031077766,-117.710192071164
2701,"Indianapolis","2701 - Nora-86th Street","Nora Corners Shopping Center","1460 E. 86th St.","Indianapolis","IN",46240,39.9138869548894,-86.1351917380981
1805,"MO - Kansas City","1805 - Total Wine - Liberty","Wilshire Plaza","8520 N. Evanston Ave.","Kansas City","MO",64157,39.247841,-94.460762
2702,"Indianapolis","2702 - Total Wine - Greenwood","The Shoppes at County Line","2110 East County Line Road","Indianapolis","IN",46227,39.63756,-86.12421
1014,"Phoenix","1014 - Total Wine - Mesa","Superstition Gateway West","1834 S. Signal Butte Rd.","Mesa","AZ",85209,33.38187,-111.6026
1802,"St Louis","1802 - Total Wine - Brentwood","The Promenade at Brentwood","90 Brentwood Promenade Ct","Brentwood","MO",63144,38.6261936815021,-90.3409933005249
1904,"Milwaukee","1904 - Total Wine - Bayshore","Bayshore Town Center","5850 N. Bayshore Dr.","Glendale","WI",53217,43.1235249807095,-87.9140186656761
1115,"San Francisco","1115 - Total Wine - Fremont","Pacific Commons","43484 Boscell Road","Fremont","CA",94538,37.503166,-121.977066
1706,"Boston","1706 - Total Wine - Braintree","Ivory Plaza","180 Pearl Street","Braintree","MA",2184,42.2042476667371,-71.0002967947205
304,"CHW/304","304-Total Wine - Union NJ","Union 22","950 Springfield Road","Union","NJ",7083,40.6887,-74.2995
202,"N Virginia","202/VFW-Total Wine - Springfield","Tower Shopping Center","6801 Bland Street","Springfield","VA",22150,38.7811391,-77.1836165
526,"Houston","526 - Total Wine - Humble","Deerbrook Plaza","9805 FM 1960 Bypass Road West","Humble","TX",77338,30.0063828,-95.2757383
522,"Austin","522 - Total Wine - Arboretum","Arboretum Village","10001 Research Blvd Suite300","Austin","TX",78759,30.3917535,-97.7444312
